fold;genotipo_treino;genotipo_teste;modelo;indice_amostra;nomenclaura;bloco;genotipo;condicao;data_coleta;turno;dia;classe_real;classe_predita;score_NIRRIG;acerto;1924;1935;1914;1945;1950;1360;719;1929;1919;1350;1375;1366;1361;1351;1841;1925;1915;1831;1928;1938;1947;1916;1958;713;1379;1374;404;1388;1373;1363;1918;403;1952;1942;410;1933;1833;1852;1547;1537;1557;1355;1365;1940;1378;1368;716;1931;1651;1640;1661;1922;1932;1941;1912;1951;748;738;1939;1917;1934;1926;1943;721;711;726;705;1376;1837;1847;1499;1488;1478;1356;1878;1840;1377;709;1372;704;1345;1339;402;714;1354
1;BR16+CD202;EMB48;PLS-DA;148;B4_EMB48_NIRRIG_REPROD00005.asd;B4;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.5965652158707319;True;-1.4686412796067128;-1.4380474436538888;-1.4558486574646865;-1.383301875029656;-1.3494553619944165;0.8181965671830739;0.05904356365153765;-1.4589946252836095;-1.4683751908974056;0.8539001699015915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;149;B3_EMB48_IRRIG_REPROD00007.asd;B3;EMB48;IRRIG;D02M;manha;D02;IRRIG;IRRIG;0.46554955632226414;True;-1.5156188220125464;-1.4997057309471735;-1.4939404256820936;-1.4604512072167384;-1.4336147083053852;0.8197155534292435;0.08641244295068354;-1.5125052430134658;-1.510207155249589;0.861603526721729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;150;B4_EMB48_NIRRIG_REPROD00006.asd;B4;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.6021631671370521;True;-1.465079635716146;-1.43421668600219;-1.4523088965911979;-1.3791454643100258;-1.3448483182535262;0.8193048269127033;0.0523287040651403;-1.455905964477355;-1.4652460742681546;0.8535206162569742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;151;B3_EMB48_NIRRIG_REPROD00000.asd;B3;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.4930988022097785;False;-1.506565180263333;-1.4861876376144314;-1.4972555881528031;-1.448533551082263;-1.4247879503451155;0.8153074111823417;0.25555296478806383;-1.5004418016450223;-1.506558861178242;0.8650146301744983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;152;B4_EMB48_NIRRIG_REPROD00007.asd;B4;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;NIRRIG;0.6060364190515045;True;-1.4640674797386366;-1.4329560522779332;-1.450756716527792;-1.3770133322774338;-1.3425196324690563;0.819358493082937;0.0499064027180276;-1.4543913742310606;-1.463567517700926;0.8529125723726186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;153;B3_EMB48_NIRRIG_REPROD00001.asd;B3;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.49400356434564907;False;-1.5053635001493073;-1.4845324395572717;-1.4961570437737977;-1.4467375948254642;-1.422689899215488;0.8159064691742371;0.25519971913256023;-1.498975922502094;-1.5049023976472973;0.8657312018125944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;154;B3_EMB48_NIRRIG_REPROD00002.asd;B3;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.49506233636460656;False;-1.50531409301106;-1.4847118108906294;-1.4964470505731173;-1.44617267202333;-1.4215942753055013;0.8159116007395646;0.2525876880391118;-1.499006899404872;-1.5053813798568734;0.8654967063386164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;155;B3_EMB48_NIRRIG_REPROD00003.asd;B3;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.49539038723011053;False;-1.5059938423765038;-1.4849049575717739;-1.4968723767335539;-1.4461386169682193;-1.4213040502549705;0.8157344832300762;0.25091712735871674;-1.4999058617446372;-1.5058709311477927;0.8652819236291426;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;156;B3_EMB48_NIRRIG_REPROD00004.asd;B3;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.4139013442963818;False;-1.5283717222865374;-1.511082874841353;-1.5136567466232766;-1.4736257355779356;-1.4494034056015568;0.8277945928080905;0.2522818289793482;-1.5246852964717186;-1.5258594891610742;0.8785063445079068;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;BR16+CD202;EMB48;PLS-DA;157;B3_EMB48_NIRRIG_REPROD00005.asd;B3;EMB48;NIRRIG;D02M;manha;D02;NIRRIG;IRRIG;0.4113969152856389;False;-1.5300814520543737;-1.5124399685598922;-1.5141219456671562;-1.475039186850055;-1.4498206419197697;0.8279599921336085;0.2513567858993107;-1.5257244983612779;-1.5271291276057848;0.878798805217699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
