modelo;dia;fold;genotipo_treino;genotipo_teste;n_amostras_teste;accuracy;balanced_accuracy;precision;recall;f1_score;kappa;auc_roc
PLS-DA;D06;3;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D06;3;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D06;4;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D06;4;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D06;1;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D06;1;CD202;CD202;16;0.875;0.875;0.8;1.0;0.8888888888888888;0.75;1.0
PLS-DA;D06;2;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D06;2;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D06;3;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D06;3;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D06;4;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D06;4;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D06;1;EMB48;EMB48;16;0.5;0.5;0.5;1.0;0.6666666666666666;0.0;1.0
RandomForest;D06;1;EMB48;EMB48;16;0.5;0.5;0.5;1.0;0.6666666666666666;0.0;1.0
PLS-DA;D06;2;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D06;2;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D06;3;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D06;3;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D06;4;EMB48;EMB48;16;0.875;0.875;1.0;0.75;0.8571428571428571;0.75;1.0
RandomForest;D06;4;EMB48;EMB48;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;1.0
PLS-DA;D09;1;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D09;1;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D09;2;BR16;BR16;16;0.875;0.875;1.0;0.75;0.8571428571428571;0.75;1.0
RandomForest;D09;2;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D09;3;BR16;BR16;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;1.0
RandomForest;D09;3;BR16;BR16;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.7421875
PLS-DA;D09;4;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D09;4;BR16;BR16;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.75
PLS-DA;D09;1;CD202;CD202;20;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D09;1;CD202;CD202;20;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D09;2;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D09;2;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D09;3;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D09;3;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D09;4;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D09;4;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D09;1;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D09;1;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D09;2;EMB48;EMB48;16;0.8125;0.8125;1.0;0.625;0.7692307692307693;0.625;1.0
RandomForest;D09;2;EMB48;EMB48;16;0.5;0.5;0.5;1.0;0.6666666666666666;0.0;0.921875
PLS-DA;D09;3;EMB48;EMB48;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;0.875
RandomForest;D09;3;EMB48;EMB48;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;0.75
PLS-DA;D09;4;EMB48;EMB48;16;0.75;0.75;0.6666666666666666;1.0;0.8;0.5;0.875
RandomForest;D09;4;EMB48;EMB48;16;0.5;0.5;0.5;0.5;0.5;0.0;0.5625
PLS-DA;D10;1;BR16;BR16;16;0.5625;0.5625;0.5333333333333333;1.0;0.6956521739130435;0.125;0.5
RandomForest;D10;1;BR16;BR16;16;0.5;0.5;0.5;1.0;0.6666666666666666;0.0;0.0
PLS-DA;D10;2;BR16;BR16;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D10;2;BR16;BR16;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;1.0
PLS-DA;D10;3;BR16;BR16;16;0.5;0.5;0.5;0.5;0.5;0.0;0.75
RandomForest;D10;3;BR16;BR16;16;0.25;0.25;0.0;0.0;0.0;-0.5;0.375
PLS-DA;D10;4;BR16;BR16;16;0.4375;0.4375;0.42857142857142855;0.375;0.4;-0.125;0.5
RandomForest;D10;4;BR16;BR16;16;0.5;0.5;0.5;1.0;0.6666666666666666;0.0;0.25
PLS-DA;D10;1;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D10;1;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D10;2;CD202;CD202;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D10;2;CD202;CD202;16;0.9375;0.9375;1.0;0.875;0.9333333333333333;0.875;1.0
PLS-DA;D10;3;CD202;CD202;16;0.5;0.5;0.5;1.0;0.6666666666666666;0.0;1.0
RandomForest;D10;3;CD202;CD202;16;0.9375;0.9375;0.8888888888888888;1.0;0.9411764705882353;0.875;1.0
PLS-DA;D10;4;CD202;CD202;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;0.75
RandomForest;D10;4;CD202;CD202;16;0.75;0.75;1.0;0.5;0.6666666666666666;0.5;0.75
PLS-DA;D10;1;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D10;1;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D10;2;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D10;2;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D10;3;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
RandomForest;D10;3;EMB48;EMB48;16;1.0;1.0;1.0;1.0;1.0;1.0;1.0
PLS-DA;D10;4;EMB48;EMB48;16;0.9375;0.9375;1.0;0.875;0.9333333333333333;0.875;1.0
RandomForest;D10;4;EMB48;EMB48;16;0.8125;0.8125;1.0;0.625;0.7692307692307693;0.625;1.0
